"district_name","year","incident_num","Date","Time","district","victim_gender","victim_race","multi_victim","v_hispanic_or_latinx","fatal","Total.","GEOID","NAME","medincome","no_english","little_english","below_highschool","employment_status","pct_below_poverty_level","pct_vacant","total_pop","White_alone","B02001_003","Black_or_African_American_alone","American_Indian_and_Alaska_Native_alone","Asian_alone","one_parent","pct_25_and_up_bachelors_degree"
"Brighton",2018,"I182051210","2018-06-30","2024-04-01T00:41:00Z","D14","Female","Black or African American",1,FALSE,TRUE,52047,2135,"ZCTA5 02135",72009,505,684,2594,40643,7716,1039,44760,32108,2137,124,6485,87,691,40340
"Brighton",2019,"192102486","2019-12-20","2024-04-01T22:53:00Z","D14","Male","Black or African American",0,FALSE,FALSE,52047,2135,"ZCTA5 02135",78416,512,726,2180,40733,7428,1091,44951,32318,2384,118,6055,47,690,68.2
"Brighton",2020,"202082690","2020-11-09","2024-04-01T00:32:00Z","D14","Male","White",1,FALSE,FALSE,52047,2135,"ZCTA5 02135",83383,268,446,2574,41756,7567,1032,45496,31762,2353,47,6992,87,521,69.5
"Brighton",2020,"202082690","2020-11-09","2024-04-01T00:32:00Z","D14","Male","Black or African American",1,FALSE,FALSE,52047,2135,"ZCTA5 02135",83383,268,446,2574,41756,7567,1032,45496,31762,2353,47,6992,87,521,69.5
"Brighton",2020,"202068706","2020-09-18","2024-04-01T19:24:00Z","D14","Male","Unknown",0,FALSE,FALSE,52047,2135,"ZCTA5 02135",83383,268,446,2574,41756,7567,1032,45496,31762,2353,47,6992,87,521,69.5
"Brighton",2020,"202082690","2020-11-09","2024-04-01T00:32:00Z","D14","Male","Unknown",1,FALSE,FALSE,52047,2135,"ZCTA5 02135",83383,268,446,2574,41756,7567,1032,45496,31762,2353,47,6992,87,521,69.5
"Brighton",2021,"212083607","2021-11-15","2024-04-01T00:30:43Z","D14","Male","Black or African American",1,FALSE,FALSE,52047,2135,"ZCTA5 02135",85792,356,564,2066,41551,8140,1238,45024,29579,2665,88,7298,54,616,69.9
"Brighton",2021,"212041475","2021-06-19","2024-04-01T20:54:27Z","D14","Male","White",0,TRUE,FALSE,52047,2135,"ZCTA5 02135",85792,356,564,2066,41551,8140,1238,45024,29579,2665,88,7298,54,616,69.9
"Brighton",2021,"212083607","2021-11-15","2024-04-01T00:30:30Z","D14","Male","Black or African American",1,FALSE,FALSE,52047,2135,"ZCTA5 02135",85792,356,564,2066,41551,8140,1238,45024,29579,2665,88,7298,54,616,69.9
"Dorchester",2015,"I152039988-00","2015-05-15","2024-04-01T23:47:00Z","C11","Male","Black or African American",0,FALSE,FALSE,122191,2122,"ZCTA5 02122",52122,325,375,3908,20089,4831,844,24880,8597,7894,41,4627,0,2294,19404
"Dorchester",2015,"I152039988-00","2015-05-15","2024-04-01T23:47:00Z","C11","Male","Black or African American",0,FALSE,FALSE,122191,2121,"ZCTA5 02121",26150,1088,1351,4370,21447,9600,1014,28051,2513,19466,249,330,27,4238,20528
"Dorchester",2015,"I152039988-00","2015-05-15","2024-04-01T23:47:00Z","C11","Male","Black or African American",0,FALSE,FALSE,122191,2125,"ZCTA5 02125",48123,867,1050,4762,28812,9724,1238,35379,12154,9560,181,4633,0,2420,28042
"Dorchester",2015,"I152039988-00","2015-05-15","2024-04-01T23:47:00Z","C11","Male","Black or African American",0,FALSE,FALSE,122191,2124,"ZCTA5 02124",48350,1046,1344,6831,41800,10711,1702,53227,11661,34042,332,4103,0,5485,40351
"Dorchester",2015,"I152000196-00","2015-01-01","2024-04-01T13:30:00Z","C11","Male","Black or African American",0,FALSE,FALSE,122191,2122,"ZCTA5 02122",52122,325,375,3908,20089,4831,844,24880,8597,7894,41,4627,0,2294,19404
"Dorchester",2015,"I152000196-00","2015-01-01","2024-04-01T13:30:00Z","C11","Male","Black or African American",0,FALSE,FALSE,122191,2121,"ZCTA5 02121",26150,1088,1351,4370,21447,9600,1014,28051,2513,19466,249,330,27,4238,20528
"Dorchester",2015,"I152000196-00","2015-01-01","2024-04-01T13:30:00Z","C11","Male","Black or African American",0,FALSE,FALSE,122191,2125,"ZCTA5 02125",48123,867,1050,4762,28812,9724,1238,35379,12154,9560,181,4633,0,2420,28042
"Dorchester",2015,"I152000196-00","2015-01-01","2024-04-01T13:30:00Z","C11","Male","Black or African American",0,FALSE,FALSE,122191,2124,"ZCTA5 02124",48350,1046,1344,6831,41800,10711,1702,53227,11661,34042,332,4103,0,5485,40351
"Dorchester",2015,"I152070281","2015-08-24","2024-04-01T21:55:00Z","C11","Female","Black or African American",0,TRUE,FALSE,122191,2122,"ZCTA5 02122",52122,325,375,3908,20089,4831,844,24880,8597,7894,41,4627,0,2294,19404
"Dorchester",2015,"I152070281","2015-08-24","2024-04-01T21:55:00Z","C11","Female","Black or African American",0,TRUE,FALSE,122191,2121,"ZCTA5 02121",26150,1088,1351,4370,21447,9600,1014,28051,2513,19466,249,330,27,4238,20528
"Dorchester",2015,"I152070281","2015-08-24","2024-04-01T21:55:00Z","C11","Female","Black or African American",0,TRUE,FALSE,122191,2125,"ZCTA5 02125",48123,867,1050,4762,28812,9724,1238,35379,12154,9560,181,4633,0,2420,28042
"Dorchester",2015,"I152070281","2015-08-24","2024-04-01T21:55:00Z","C11","Female","Black or African American",0,TRUE,FALSE,122191,2124,"ZCTA5 02124",48350,1046,1344,6831,41800,10711,1702,53227,11661,34042,332,4103,0,5485,40351
"Dorchester",2015,"I152036159-00","2015-05-03","2024-04-01T20:02:00Z","C11","Male","Black or African American",0,FALSE,FALSE,122191,2122,"ZCTA5 02122",52122,325,375,3908,20089,4831,844,24880,8597,7894,41,4627,0,2294,19404
"Dorchester",2015,"I152036159-00","2015-05-03","2024-04-01T20:02:00Z","C11","Male","Black or African American",0,FALSE,FALSE,122191,2121,"ZCTA5 02121",26150,1088,1351,4370,21447,9600,1014,28051,2513,19466,249,330,27,4238,20528
"Dorchester",2015,"I152036159-00","2015-05-03","2024-04-01T20:02:00Z","C11","Male","Black or African American",0,FALSE,FALSE,122191,2125,"ZCTA5 02125",48123,867,1050,4762,28812,9724,1238,35379,12154,9560,181,4633,0,2420,28042
"Dorchester",2015,"I152036159-00","2015-05-03","2024-04-01T20:02:00Z","C11","Male","Black or African American",0,FALSE,FALSE,122191,2124,"ZCTA5 02124",48350,1046,1344,6831,41800,10711,1702,53227,11661,34042,332,4103,0,5485,40351
"Dorchester",2015,"I152067124","2015-08-13","2024-04-01T23:35:00Z","C11","Male","Black or African American",1,FALSE,FALSE,122191,2122,"ZCTA5 02122",52122,325,375,3908,20089,4831,844,24880,8597,7894,41,4627,0,2294,19404
"Dorchester",2015,"I152067124","2015-08-13","2024-04-01T23:35:00Z","C11","Male","Black or African American",1,FALSE,FALSE,122191,2121,"ZCTA5 02121",26150,1088,1351,4370,21447,9600,1014,28051,2513,19466,249,330,27,4238,20528
"Dorchester",2015,"I152067124","2015-08-13","2024-04-01T23:35:00Z","C11","Male","Black or African American",1,FALSE,FALSE,122191,2125,"ZCTA5 02125",48123,867,1050,4762,28812,9724,1238,35379,12154,9560,181,4633,0,2420,28042
"Dorchester",2015,"I152067124","2015-08-13","2024-04-01T23:35:00Z","C11","Male","Black or African American",1,FALSE,FALSE,122191,2124,"ZCTA5 02124",48350,1046,1344,6831,41800,10711,1702,53227,11661,34042,332,4103,0,5485,40351
"Dorchester",2015,"I152091104","2015-11-03","2024-04-01T00:25:00Z","C11","Male","White",0,TRUE,TRUE,122191,2122,"ZCTA5 02122",52122,325,375,3908,20089,4831,844,24880,8597,7894,41,4627,0,2294,19404
"Dorchester",2015,"I152091104","2015-11-03","2024-04-01T00:25:00Z","C11","Male","White",0,TRUE,TRUE,122191,2121,"ZCTA5 02121",26150,1088,1351,4370,21447,9600,1014,28051,2513,19466,249,330,27,4238,20528
"Dorchester",2015,"I152091104","2015-11-03","2024-04-01T00:25:00Z","C11","Male","White",0,TRUE,TRUE,122191,2125,"ZCTA5 02125",48123,867,1050,4762,28812,9724,1238,35379,12154,9560,181,4633,0,2420,28042
"Dorchester",2015,"I152091104","2015-11-03","2024-04-01T00:25:00Z","C11","Male","White",0,TRUE,TRUE,122191,2124,"ZCTA5 02124",48350,1046,1344,6831,41800,10711,1702,53227,11661,34042,332,4103,0,5485,40351
"Dorchester",2015,"I152103905","2015-12-17","2024-04-01T02:12:00Z","C11","Male","Black or African American",0,FALSE,FALSE,122191,2122,"ZCTA5 02122",52122,325,375,3908,20089,4831,844,24880,8597,7894,41,4627,0,2294,19404
"Dorchester",2015,"I152103905","2015-12-17","2024-04-01T02:12:00Z","C11","Male","Black or African American",0,FALSE,FALSE,122191,2121,"ZCTA5 02121",26150,1088,1351,4370,21447,9600,1014,28051,2513,19466,249,330,27,4238,20528
"Dorchester",2015,"I152103905","2015-12-17","2024-04-01T02:12:00Z","C11","Male","Black or African American",0,FALSE,FALSE,122191,2125,"ZCTA5 02125",48123,867,1050,4762,28812,9724,1238,35379,12154,9560,181,4633,0,2420,28042
"Dorchester",2015,"I152103905","2015-12-17","2024-04-01T02:12:00Z","C11","Male","Black or African American",0,FALSE,FALSE,122191,2124,"ZCTA5 02124",48350,1046,1344,6831,41800,10711,1702,53227,11661,34042,332,4103,0,5485,40351
"Dorchester",2015,"I152047934","2015-06-10","2024-04-01T05:06:00Z","C11","Male","Black or African American",0,FALSE,FALSE,122191,2122,"ZCTA5 02122",52122,325,375,3908,20089,4831,844,24880,8597,7894,41,4627,0,2294,19404
"Dorchester",2015,"I152047934","2015-06-10","2024-04-01T05:06:00Z","C11","Male","Black or African American",0,FALSE,FALSE,122191,2121,"ZCTA5 02121",26150,1088,1351,4370,21447,9600,1014,28051,2513,19466,249,330,27,4238,20528
"Dorchester",2015,"I152047934","2015-06-10","2024-04-01T05:06:00Z","C11","Male","Black or African American",0,FALSE,FALSE,122191,2125,"ZCTA5 02125",48123,867,1050,4762,28812,9724,1238,35379,12154,9560,181,4633,0,2420,28042
"Dorchester",2015,"I152047934","2015-06-10","2024-04-01T05:06:00Z","C11","Male","Black or African American",0,FALSE,FALSE,122191,2124,"ZCTA5 02124",48350,1046,1344,6831,41800,10711,1702,53227,11661,34042,332,4103,0,5485,40351
"Dorchester",2015,"I152067405","2015-08-14","2024-04-01T21:43:00Z","C11","Male","Black or African American",0,FALSE,FALSE,122191,2122,"ZCTA5 02122",52122,325,375,3908,20089,4831,844,24880,8597,7894,41,4627,0,2294,19404
"Dorchester",2015,"I152067405","2015-08-14","2024-04-01T21:43:00Z","C11","Male","Black or African American",0,FALSE,FALSE,122191,2121,"ZCTA5 02121",26150,1088,1351,4370,21447,9600,1014,28051,2513,19466,249,330,27,4238,20528
"Dorchester",2015,"I152067405","2015-08-14","2024-04-01T21:43:00Z","C11","Male","Black or African American",0,FALSE,FALSE,122191,2125,"ZCTA5 02125",48123,867,1050,4762,28812,9724,1238,35379,12154,9560,181,4633,0,2420,28042
"Dorchester",2015,"I152067405","2015-08-14","2024-04-01T21:43:00Z","C11","Male","Black or African American",0,FALSE,FALSE,122191,2124,"ZCTA5 02124",48350,1046,1344,6831,41800,10711,1702,53227,11661,34042,332,4103,0,5485,40351
"Dorchester",2015,"I152100461","2015-12-05","2024-04-01T12:55:00Z","C11","Female","Black or African American",0,FALSE,FALSE,122191,2122,"ZCTA5 02122",52122,325,375,3908,20089,4831,844,24880,8597,7894,41,4627,0,2294,19404
"Dorchester",2015,"I152100461","2015-12-05","2024-04-01T12:55:00Z","C11","Female","Black or African American",0,FALSE,FALSE,122191,2121,"ZCTA5 02121",26150,1088,1351,4370,21447,9600,1014,28051,2513,19466,249,330,27,4238,20528
"Dorchester",2015,"I152100461","2015-12-05","2024-04-01T12:55:00Z","C11","Female","Black or African American",0,FALSE,FALSE,122191,2125,"ZCTA5 02125",48123,867,1050,4762,28812,9724,1238,35379,12154,9560,181,4633,0,2420,28042
"Dorchester",2015,"I152100461","2015-12-05","2024-04-01T12:55:00Z","C11","Female","Black or African American",0,FALSE,FALSE,122191,2124,"ZCTA5 02124",48350,1046,1344,6831,41800,10711,1702,53227,11661,34042,332,4103,0,5485,40351
"Dorchester",2015,"I150373043","2015-07-11","2024-04-01T17:57:00Z","C11","Male","Black or African American",0,FALSE,TRUE,122191,2122,"ZCTA5 02122",52122,325,375,3908,20089,4831,844,24880,8597,7894,41,4627,0,2294,19404
"Dorchester",2015,"I150373043","2015-07-11","2024-04-01T17:57:00Z","C11","Male","Black or African American",0,FALSE,TRUE,122191,2121,"ZCTA5 02121",26150,1088,1351,4370,21447,9600,1014,28051,2513,19466,249,330,27,4238,20528
"Dorchester",2015,"I150373043","2015-07-11","2024-04-01T17:57:00Z","C11","Male","Black or African American",0,FALSE,TRUE,122191,2125,"ZCTA5 02125",48123,867,1050,4762,28812,9724,1238,35379,12154,9560,181,4633,0,2420,28042
"Dorchester",2015,"I150373043","2015-07-11","2024-04-01T17:57:00Z","C11","Male","Black or African American",0,FALSE,TRUE,122191,2124,"ZCTA5 02124",48350,1046,1344,6831,41800,10711,1702,53227,11661,34042,332,4103,0,5485,40351
"Dorchester",2015,"I152053353","2015-06-27","2024-04-01T23:41:00Z","C11","Male","Black or African American",0,FALSE,FALSE,122191,2122,"ZCTA5 02122",52122,325,375,3908,20089,4831,844,24880,8597,7894,41,4627,0,2294,19404
"Dorchester",2015,"I152053353","2015-06-27","2024-04-01T23:41:00Z","C11","Male","Black or African American",0,FALSE,FALSE,122191,2121,"ZCTA5 02121",26150,1088,1351,4370,21447,9600,1014,28051,2513,19466,249,330,27,4238,20528
"Dorchester",2015,"I152053353","2015-06-27","2024-04-01T23:41:00Z","C11","Male","Black or African American",0,FALSE,FALSE,122191,2125,"ZCTA5 02125",48123,867,1050,4762,28812,9724,1238,35379,12154,9560,181,4633,0,2420,28042
"Dorchester",2015,"I152053353","2015-06-27","2024-04-01T23:41:00Z","C11","Male","Black or African American",0,FALSE,FALSE,122191,2124,"ZCTA5 02124",48350,1046,1344,6831,41800,10711,1702,53227,11661,34042,332,4103,0,5485,40351
"Dorchester",2015,"I152094689","2015-11-14","2024-04-01T16:55:00Z","C11","Male","White",1,TRUE,FALSE,122191,2122,"ZCTA5 02122",52122,325,375,3908,20089,4831,844,24880,8597,7894,41,4627,0,2294,19404
"Dorchester",2015,"I152094689","2015-11-14","2024-04-01T16:55:00Z","C11","Male","White",1,TRUE,FALSE,122191,2121,"ZCTA5 02121",26150,1088,1351,4370,21447,9600,1014,28051,2513,19466,249,330,27,4238,20528
"Dorchester",2015,"I152094689","2015-11-14","2024-04-01T16:55:00Z","C11","Male","White",1,TRUE,FALSE,122191,2125,"ZCTA5 02125",48123,867,1050,4762,28812,9724,1238,35379,12154,9560,181,4633,0,2420,28042
"Dorchester",2015,"I152094689","2015-11-14","2024-04-01T16:55:00Z","C11","Male","White",1,TRUE,FALSE,122191,2124,"ZCTA5 02124",48350,1046,1344,6831,41800,10711,1702,53227,11661,34042,332,4103,0,5485,40351
"Dorchester",2015,"I152026538-00","2015-04-01","2024-04-01T20:29:00Z","C11","Male","Black or African American",0,FALSE,FALSE,122191,2122,"ZCTA5 02122",52122,325,375,3908,20089,4831,844,24880,8597,7894,41,4627,0,2294,19404
"Dorchester",2015,"I152026538-00","2015-04-01","2024-04-01T20:29:00Z","C11","Male","Black or African American",0,FALSE,FALSE,122191,2121,"ZCTA5 02121",26150,1088,1351,4370,21447,9600,1014,28051,2513,19466,249,330,27,4238,20528
"Dorchester",2015,"I152026538-00","2015-04-01","2024-04-01T20:29:00Z","C11","Male","Black or African American",0,FALSE,FALSE,122191,2125,"ZCTA5 02125",48123,867,1050,4762,28812,9724,1238,35379,12154,9560,181,4633,0,2420,28042
"Dorchester",2015,"I152026538-00","2015-04-01","2024-04-01T20:29:00Z","C11","Male","Black or African American",0,FALSE,FALSE,122191,2124,"ZCTA5 02124",48350,1046,1344,6831,41800,10711,1702,53227,11661,34042,332,4103,0,5485,40351
"Dorchester",2015,"I152048250","2015-06-10","2024-04-01T23:44:00Z","C11","Male","Black or African American",1,FALSE,FALSE,122191,2122,"ZCTA5 02122",52122,325,375,3908,20089,4831,844,24880,8597,7894,41,4627,0,2294,19404
"Dorchester",2015,"I152048250","2015-06-10","2024-04-01T23:44:00Z","C11","Male","Black or African American",1,FALSE,FALSE,122191,2121,"ZCTA5 02121",26150,1088,1351,4370,21447,9600,1014,28051,2513,19466,249,330,27,4238,20528
"Dorchester",2015,"I152048250","2015-06-10","2024-04-01T23:44:00Z","C11","Male","Black or African American",1,FALSE,FALSE,122191,2125,"ZCTA5 02125",48123,867,1050,4762,28812,9724,1238,35379,12154,9560,181,4633,0,2420,28042
"Dorchester",2015,"I152048250","2015-06-10","2024-04-01T23:44:00Z","C11","Male","Black or African American",1,FALSE,FALSE,122191,2124,"ZCTA5 02124",48350,1046,1344,6831,41800,10711,1702,53227,11661,34042,332,4103,0,5485,40351
"Dorchester",2015,"I152043193-00","2015-05-26","2024-04-01T13:33:00Z","C11","Male","Black or African American",0,FALSE,FALSE,122191,2122,"ZCTA5 02122",52122,325,375,3908,20089,4831,844,24880,8597,7894,41,4627,0,2294,19404
"Dorchester",2015,"I152043193-00","2015-05-26","2024-04-01T13:33:00Z","C11","Male","Black or African American",0,FALSE,FALSE,122191,2121,"ZCTA5 02121",26150,1088,1351,4370,21447,9600,1014,28051,2513,19466,249,330,27,4238,20528
"Dorchester",2015,"I152043193-00","2015-05-26","2024-04-01T13:33:00Z","C11","Male","Black or African American",0,FALSE,FALSE,122191,2125,"ZCTA5 02125",48123,867,1050,4762,28812,9724,1238,35379,12154,9560,181,4633,0,2420,28042
"Dorchester",2015,"I152043193-00","2015-05-26","2024-04-01T13:33:00Z","C11","Male","Black or African American",0,FALSE,FALSE,122191,2124,"ZCTA5 02124",48350,1046,1344,6831,41800,10711,1702,53227,11661,34042,332,4103,0,5485,40351
"Dorchester",2015,"I152094666","2015-11-14","2024-04-01T16:55:00Z","C11","Male","Black or African American",1,TRUE,FALSE,122191,2122,"ZCTA5 02122",52122,325,375,3908,20089,4831,844,24880,8597,7894,41,4627,0,2294,19404
"Dorchester",2015,"I152094666","2015-11-14","2024-04-01T16:55:00Z","C11","Male","Black or African American",1,TRUE,FALSE,122191,2121,"ZCTA5 02121",26150,1088,1351,4370,21447,9600,1014,28051,2513,19466,249,330,27,4238,20528
"Dorchester",2015,"I152094666","2015-11-14","2024-04-01T16:55:00Z","C11","Male","Black or African American",1,TRUE,FALSE,122191,2125,"ZCTA5 02125",48123,867,1050,4762,28812,9724,1238,35379,12154,9560,181,4633,0,2420,28042
"Dorchester",2015,"I152094666","2015-11-14","2024-04-01T16:55:00Z","C11","Male","Black or African American",1,TRUE,FALSE,122191,2124,"ZCTA5 02124",48350,1046,1344,6831,41800,10711,1702,53227,11661,34042,332,4103,0,5485,40351
"Dorchester",2015,"I152071601","2015-08-29","2024-04-01T02:32:00Z","C11","Male","Black or African American",0,FALSE,FALSE,122191,2122,"ZCTA5 02122",52122,325,375,3908,20089,4831,844,24880,8597,7894,41,4627,0,2294,19404
"Dorchester",2015,"I152071601","2015-08-29","2024-04-01T02:32:00Z","C11","Male","Black or African American",0,FALSE,FALSE,122191,2121,"ZCTA5 02121",26150,1088,1351,4370,21447,9600,1014,28051,2513,19466,249,330,27,4238,20528
"Dorchester",2015,"I152071601","2015-08-29","2024-04-01T02:32:00Z","C11","Male","Black or African American",0,FALSE,FALSE,122191,2125,"ZCTA5 02125",48123,867,1050,4762,28812,9724,1238,35379,12154,9560,181,4633,0,2420,28042
"Dorchester",2015,"I152071601","2015-08-29","2024-04-01T02:32:00Z","C11","Male","Black or African American",0,FALSE,FALSE,122191,2124,"ZCTA5 02124",48350,1046,1344,6831,41800,10711,1702,53227,11661,34042,332,4103,0,5485,40351
"Dorchester",2015,"I152028599-00","2015-04-08","2024-04-01T20:20:00Z","C11","Male","Black or African American",1,FALSE,FALSE,122191,2122,"ZCTA5 02122",52122,325,375,3908,20089,4831,844,24880,8597,7894,41,4627,0,2294,19404
"Dorchester",2015,"I152028599-00","2015-04-08","2024-04-01T20:20:00Z","C11","Male","Black or African American",1,FALSE,FALSE,122191,2121,"ZCTA5 02121",26150,1088,1351,4370,21447,9600,1014,28051,2513,19466,249,330,27,4238,20528
"Dorchester",2015,"I152028599-00","2015-04-08","2024-04-01T20:20:00Z","C11","Male","Black or African American",1,FALSE,FALSE,122191,2125,"ZCTA5 02125",48123,867,1050,4762,28812,9724,1238,35379,12154,9560,181,4633,0,2420,28042
"Dorchester",2015,"I152028599-00","2015-04-08","2024-04-01T20:20:00Z","C11","Male","Black or African American",1,FALSE,FALSE,122191,2124,"ZCTA5 02124",48350,1046,1344,6831,41800,10711,1702,53227,11661,34042,332,4103,0,5485,40351
"Dorchester",2015,"I152090355","2015-10-31","2024-04-01T17:56:00Z","C11","Male","Black or African American",0,FALSE,FALSE,122191,2122,"ZCTA5 02122",52122,325,375,3908,20089,4831,844,24880,8597,7894,41,4627,0,2294,19404
"Dorchester",2015,"I152090355","2015-10-31","2024-04-01T17:56:00Z","C11","Male","Black or African American",0,FALSE,FALSE,122191,2121,"ZCTA5 02121",26150,1088,1351,4370,21447,9600,1014,28051,2513,19466,249,330,27,4238,20528
"Dorchester",2015,"I152090355","2015-10-31","2024-04-01T17:56:00Z","C11","Male","Black or African American",0,FALSE,FALSE,122191,2125,"ZCTA5 02125",48123,867,1050,4762,28812,9724,1238,35379,12154,9560,181,4633,0,2420,28042
"Dorchester",2015,"I152090355","2015-10-31","2024-04-01T17:56:00Z","C11","Male","Black or African American",0,FALSE,FALSE,122191,2124,"ZCTA5 02124",48350,1046,1344,6831,41800,10711,1702,53227,11661,34042,332,4103,0,5485,40351
"Dorchester",2015,"I152052391","2015-06-24","2024-04-01T19:44:00Z","C11","Male","Black or African American",0,FALSE,FALSE,122191,2122,"ZCTA5 02122",52122,325,375,3908,20089,4831,844,24880,8597,7894,41,4627,0,2294,19404
"Dorchester",2015,"I152052391","2015-06-24","2024-04-01T19:44:00Z","C11","Male","Black or African American",0,FALSE,FALSE,122191,2121,"ZCTA5 02121",26150,1088,1351,4370,21447,9600,1014,28051,2513,19466,249,330,27,4238,20528
"Dorchester",2015,"I152052391","2015-06-24","2024-04-01T19:44:00Z","C11","Male","Black or African American",0,FALSE,FALSE,122191,2125,"ZCTA5 02125",48123,867,1050,4762,28812,9724,1238,35379,12154,9560,181,4633,0,2420,28042
"Dorchester",2015,"I152052391","2015-06-24","2024-04-01T19:44:00Z","C11","Male","Black or African American",0,FALSE,FALSE,122191,2124,"ZCTA5 02124",48350,1046,1344,6831,41800,10711,1702,53227,11661,34042,332,4103,0,5485,40351
"Dorchester",2015,"I152094639","2015-11-14","2024-04-01T15:14:00Z","C11","Male","Black or African American",0,FALSE,FALSE,122191,2122,"ZCTA5 02122",52122,325,375,3908,20089,4831,844,24880,8597,7894,41,4627,0,2294,19404
"Dorchester",2015,"I152094639","2015-11-14","2024-04-01T15:14:00Z","C11","Male","Black or African American",0,FALSE,FALSE,122191,2121,"ZCTA5 02121",26150,1088,1351,4370,21447,9600,1014,28051,2513,19466,249,330,27,4238,20528
"Dorchester",2015,"I152094639","2015-11-14","2024-04-01T15:14:00Z","C11","Male","Black or African American",0,FALSE,FALSE,122191,2125,"ZCTA5 02125",48123,867,1050,4762,28812,9724,1238,35379,12154,9560,181,4633,0,2420,28042
"Dorchester",2015,"I152094639","2015-11-14","2024-04-01T15:14:00Z","C11","Male","Black or African American",0,FALSE,FALSE,122191,2124,"ZCTA5 02124",48350,1046,1344,6831,41800,10711,1702,53227,11661,34042,332,4103,0,5485,40351
"Dorchester",2015,"I152055092","2015-07-04","2024-04-01T01:36:00Z","C11","Male","White",1,TRUE,FALSE,122191,2122,"ZCTA5 02122",52122,325,375,3908,20089,4831,844,24880,8597,7894,41,4627,0,2294,19404
"Dorchester",2015,"I152055092","2015-07-04","2024-04-01T01:36:00Z","C11","Male","White",1,TRUE,FALSE,122191,2121,"ZCTA5 02121",26150,1088,1351,4370,21447,9600,1014,28051,2513,19466,249,330,27,4238,20528
"Dorchester",2015,"I152055092","2015-07-04","2024-04-01T01:36:00Z","C11","Male","White",1,TRUE,FALSE,122191,2125,"ZCTA5 02125",48123,867,1050,4762,28812,9724,1238,35379,12154,9560,181,4633,0,2420,28042
"Dorchester",2015,"I152055092","2015-07-04","2024-04-01T01:36:00Z","C11","Male","White",1,TRUE,FALSE,122191,2124,"ZCTA5 02124",48350,1046,1344,6831,41800,10711,1702,53227,11661,34042,332,4103,0,5485,40351
"Dorchester",2015,"I152028582-00","2015-04-08","2024-04-01T20:21:00Z","C11","Male","Black or African American",1,FALSE,TRUE,122191,2122,"ZCTA5 02122",52122,325,375,3908,20089,4831,844,24880,8597,7894,41,4627,0,2294,19404
"Dorchester",2015,"I152028582-00","2015-04-08","2024-04-01T20:21:00Z","C11","Male","Black or African American",1,FALSE,TRUE,122191,2121,"ZCTA5 02121",26150,1088,1351,4370,21447,9600,1014,28051,2513,19466,249,330,27,4238,20528
